person,lang,z1000t,z0t,z1000mem,stmtL,z1000rel,m1000rel,whours,caps
s018,C,0.017,0.017,22432,380,98.10,96.8,16.10,??
s030,C,0.050,0.033,16968,244,76.47,92.1,4.00,??
s036,C,20.900,0.000,11440,188,0.00,89.5,8.20,??
s066,C,0.750,0.467,2952,237,98.48,100.0,7.30,??
s078,C,0.050,0.050,22496,302,99.24,98.4,10.90,??
s015,C++,0.050,0.050,24616,374,99.24,100.0,11.20,??
s020,C++,1.983,0.550,6384,166,98.48,98.4,3.00,??
s021,C++,4.867,0.017,5312,298,100.00,98.4,19.10,??
s025,C++,0.083,0.083,28568,150,99.24,98.4,3.50,??
s027,C++,1.533,0.000,3472,378,98.09,100.0,25.30,??
s033,C++,0.033,0.033,23336,205,99.24,98.4,10.10,??
s034,C++,21.400,0.033,6864,249,0.00,1.1,7.50,??
s042,C++,0.033,0.033,22680,243,100.00,100.0,11.90,??
s051,C++,0.150,0.033,3448,221,100.00,98.4,15.20,??
s090,C++,1.667,0.033,4152,511,98.48,100.0,19.60,??
s096,C++,0.917,0.017,5240,209,100.00,100.0,6.90,??
s017,Java,0.633,0.433,41952,509,100.00,10.2,48.90,??
s023,Java,2.633,0.650,89664,384,7.60,98.4,7.10,??
s037,Java,0.283,0.100,59088,364,100.00,10.2,13.00,??
s040,Java,0.317,0.283,56376,212,100.00,98.4,5.00,??
s043,Java,2.200,2.017,36136,164,98.85,90.9,8.70,??
s047,Java,6.467,0.117,54872,166,100.00,10.1,6.20,??
s050,Java,0.200,0.167,58024,186,100.00,10.2,4.80,??
s053,Java,0.267,0.100,52376,257,99.62,10.2,63.20,??
s054,Java,1.700,0.717,27088,324,100.00,10.2,13.80,??
s056,Java,0.350,0.067,22328,232,100.00,100.0,18.10,??
s057,Java,0.467,0.000,38104,434,100.00,10.2,17.80,??
s059,Java,4.150,0.050,40384,147,100.00,10.2,7.40,??
s060,Java,3.783,0.100,29432,281,98.85,96.3,27.60,??
s062,Java,16.800,0.067,38368,218,100.00,10.2,3.80,??
s063,Java,1.333,0.450,38672,155,100.00,100.0,7.30,??
s065,Java,1.467,0.117,49704,427,100.00,97.9,39.70,??
s068,Java,31.200,0.050,40584,107,100.00,10.2,15.10,??
s072,Java,30.100,0.067,52272,365,100.00,100.0,7.80,??
s081,Java,0.200,0.150,79544,614,100.00,10.2,26.60,??
s084,Java,0.150,0.133,65240,338,100.00,100.0,9.70,??
s087,Java,0.267,0.083,39896,322,100.00,100.0,19.70,??
s093,Java,37.100,0.050,41632,179,100.00,10.2,9.80,??
s099,Java,0.267,0.217,70696,228,100.00,98.4,3.80,??
s102,Java,0.167,0.150,51968,130,0.18,6.6,8.20,??
s149101,perl,0.267,0.183,17344,60,99.24,100.0,1.08,0-10%
s149102,perl,21.400,0.417,73440,62,0.00,0.0,1.67,10-25%
s149103,perl,0.083,0.067,25408,49,100.00,100.0,1.58,NA
s149105,perl,0.200,0.100,31536,97,100.00,100.0,3.17,0-10%
s149106,perl,0.117,0.033,17480,65,99.24,100.0,6.17,0-10%
s149107,perl,0.350,0.333,17232,108,100.00,100.0,2.50,0-10%
s149108,perl,0.483,0.433,73448,74,100.00,100.0,2.83,10-25%
s149109,perl,0.167,0.133,17312,141,100.00,100.0,3.67,25-40%
s149110,perl,0.200,0.133,17232,114,99.24,100.0,5.00,10-25%
s149111,perl,0.267,0.233,17224,80,100.00,100.0,1.00,10-25%
s149112,perl,0.250,0.233,17576,66,100.00,98.4,1.25,10-25%
s149113,perl,67.500,0.300,20320,121,100.00,0.0,7.00,60-75%
s149114,perl,0.333,0.233,21896,74,99.24,98.4,7.00,25-40%
s149201,python,0.650,0.317,22608,82,99.24,100.0,2.00,10-25%
s149202,python,1.583,1.367,17784,61,99.24,98.4,1.58,NA
s149203,python,0.183,0.167,13664,79,100.00,100.0,1.77,0-10%
s149204,python,0.117,0.067,13632,60,100.00,100.0,2.43,0-10%
s149205,python,0.083,0.067,17336,78,100.00,10.2,1.50,0-10%
s149206,python,0.117,0.067,17320,42,100.00,100.0,5.50,40-60%
s149207,python,0.133,0.067,15312,114,100.00,100.0,2.83,0-10%
s149208,python,0.450,0.367,16024,94,99.24,98.4,4.20,25-40%
s149209,python,72.300,0.500,14632,119,100.00,0.0,4.83,10-25%
